class,precision,recall,f1,support
Acontecer,1.0,0.975,0.9873417721518988,40.0
Aluno,1.0,1.0,1.0,30.0
Amarelo,1.0,1.0,1.0,30.0
America,1.0,1.0,1.0,40.0
Aproveitar,1.0,1.0,1.0,30.0
Bala,1.0,1.0,1.0,30.0
Banco,0.967741935483871,1.0,0.9836065573770492,30.0
Banheiro,1.0,1.0,1.0,40.0
Barulho,1.0,0.975,0.9873417721518988,40.0
Cinco,1.0,1.0,1.0,40.0
Conhecer,1.0,0.95,0.9743589743589743,40.0
Espelho,1.0,1.0,1.0,40.0
Esquina,1.0,1.0,1.0,40.0
Filho,1.0,1.0,1.0,30.0
Maca,0.8888888888888888,1.0,0.9411764705882353,40.0
Medo,1.0,0.9666666666666667,0.9830508474576272,30.0
Ruim,1.0,1.0,1.0,30.0
Sapo,1.0,1.0,1.0,30.0
Vacina,1.0,0.9666666666666667,0.9830508474576272,30.0
Vontade,1.0,1.0,1.0,30.0
a,0.9836065573770492,1.0,0.9917355371900827,60.0
ajuda,1.0,0.975609756097561,0.9876543209876543,41.0
b,1.0,1.0,1.0,30.0
c,0.9655172413793104,1.0,0.9824561403508771,28.0
d,1.0,1.0,1.0,30.0
e,1.0,1.0,1.0,30.0
eu,0.967741935483871,1.0,0.9836065573770492,30.0
f,1.0,1.0,1.0,30.0
g,1.0,1.0,1.0,60.0
h,1.0,1.0,1.0,30.0
i,1.0,1.0,1.0,30.0
j,1.0,1.0,1.0,30.0
k,1.0,1.0,1.0,30.0
l,1.0,1.0,1.0,30.0
m,1.0,1.0,1.0,30.0
n,1.0,1.0,1.0,30.0
nao,1.0,1.0,1.0,30.0
o,1.0,0.9666666666666667,0.9830508474576272,30.0
p,1.0,1.0,1.0,30.0
por favor,1.0,1.0,1.0,30.0
q,1.0,1.0,1.0,30.0
qual,1.0,1.0,1.0,30.0
quer,1.0,1.0,1.0,30.0
r,1.0,1.0,1.0,30.0
s,1.0,1.0,1.0,30.0
sim,1.0,0.9655172413793104,0.9824561403508771,29.0
t,1.0,0.9666666666666667,0.9830508474576272,30.0
tudo bem,1.0,1.0,1.0,30.0
u,1.0,1.0,1.0,30.0
v,1.0,1.0,1.0,30.0
voce,1.0,1.0,1.0,30.0
w,0.967741935483871,1.0,0.9836065573770492,30.0
x,1.0,1.0,1.0,30.0
y,1.0,1.0,1.0,30.0
z,1.0,1.0,1.0,30.0
